FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls.zip,Medium,Prevent containers from allowing command execution,58,862,93.27146
project-yamls.zip,Medium,Roles with delete capabilities,176,862,79.58237
project-yamls.zip,High,Applications credentials in configuration files,44,552,92.028984
project-yamls.zip,Medium,Non-root containers,379,385,1.5584415
project-yamls.zip,Low,Access Kubernetes dashboard,0,1247,100.0
project-yamls.zip,High,List Kubernetes secrets,195,862,77.37819
project-yamls.zip,Medium,Allow privilege escalation,283,386,26.683939
project-yamls.zip,Low,Immutable container filesystem,304,385,21.038961
project-yamls.zip,Low,Configured readiness probe,294,385,23.636364
project-yamls.zip,Medium,Mount service principal,0,385,100.0
project-yamls.zip,Medium,Ingress and Egress blocked,338,422,19.905214
project-yamls.zip,Medium,Delete Kubernetes events,58,914,93.65427
project-yamls.zip,Medium,Automatic mapping of service account,142,609,76.68308
project-yamls.zip,Medium,Administrative Roles,20,862,97.67981
project-yamls.zip,High,Host PID/IPC privileges,10,385,97.402596
project-yamls.zip,High,HostNetwork access,12,385,96.88312
project-yamls.zip,Low,SSH server running inside container,0,27,100.0
project-yamls.zip,Medium,Container hostPort,4,385,98.96104
project-yamls.zip,High,Writable hostPath mount,16,385,95.844154
project-yamls.zip,High,Insecure capabilities,8,385,97.92208
project-yamls.zip,High,HostPath mount,18,385,95.32468
project-yamls.zip,Low,Network mapping,31,31,0.0
project-yamls.zip,Medium,Access container service account,649,650,0.15384616
project-yamls.zip,Medium,Cluster internal networking,31,31,0.0
project-yamls.zip,Medium,Linux hardening,305,385,20.77922
project-yamls.zip,Medium,Configured liveness probe,299,385,22.337662
project-yamls.zip,High,Privileged container,18,385,95.32468
project-yamls.zip,High,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability,0,0,100.0
project-yamls.zip,Low,Pods in default namespace,189,385,50.90909
project-yamls.zip,Medium,Sudo in container entrypoint,0,385,100.0
project-yamls.zip,Medium,Portforwarding privileges,30,862,96.51972
project-yamls.zip,Medium,No impersonation,21,862,97.563805
project-yamls.zip,Low,PSP enabled,0,0,100.0
project-yamls.zip,Low,Naked pods,4,4,0.0
project-yamls.zip,Medium,Container runtime socket mounted,0,385,100.0
project-yamls.zip,Low,Image pull policy on latest tag,30,385,92.20779
project-yamls.zip,Low,Label usage for resources,265,385,31.16883
project-yamls.zip,Low,K8s common labels usage,293,385,23.896105
project-yamls.zip,Medium,Images from allowed registry,0,385,0.0
project-yamls.zip,Medium,CVE-2022-24348-argocddirtraversal,0,0,100.0
project-yamls.zip,Critical,CVE-2022-39328-grafana-auth-bypass,0,5,100.0
project-yamls.zip,High,CVE-2022-47633-kyverno-signature-bypass,0,0,100.0
project-yamls.zip,Medium,Prefer using secrets as files over secrets as environment variables,12,385,96.88312
project-yamls.zip,Medium,Workload with PVC access,0,552,100.0
project-yamls.zip,Medium,Missing network policy,338,589,42.6146
project-yamls.zip,High,Anonymous access enabled,0,285,100.0
project-yamls.zip,High,Ensure CPU limits are set,313,385,18.701298
project-yamls.zip,High,Ensure memory limits are set,312,385,18.961039
